target,Age,Height,Shirt Number,Matches,Minutes/Match,Goals/Match,Assists/Match,Yellow Cards/Match,Red Cards/Match,Shots/Match,Pass Success Rate,Aerials Won
Defender,25.0,192.0,5.0,224,86.9866071428571,0.0491071428571429,0.0625,0.1875,0.0089285714285714,0.5,85.3,2.2
Forward,27.0,189.0,11.0,67,69.3432835820896,0.552238805970149,0.134328358208955,0.0597014925373134,0.0,2.0,73.6,1.1
Midfielder,21.0,182.0,18.0,68,62.7352941176471,0.191176470588235,0.0441176470588235,0.0735294117647059,0.0,1.7,83.8,0.3
Goalkeeper,25.0,189.0,99.0,58,89.0172413793104,0.0,0.0,0.0862068965517241,0.0,0.0,74.3,0.3
Midfielder,25.0,180.0,56.0,173,55.7745664739884,0.0751445086705202,0.0809248554913295,0.144508670520231,0.0173410404624277,0.9,82.4,0.3
Midfielder,24.0,170.0,28.0,145,64.0068965517241,0.0482758620689655,0.124137931034483,0.110344827586207,0.0,0.9,84.2,0.4
Midfielder,28.0,186.0,7.0,342,70.0643274853801,0.169590643274854,0.175438596491228,0.187134502923977,0.0175438596491228,1.8,79.9,0.7
Midfielder,23.0,185.0,17.0,108,77.1851851851852,0.0462962962962963,0.0092592592592592,0.305555555555556,0.0185185185185185,1.0,86.1,0.7
Midfielder,20.0,181.0,61.0,17,44.0588235294118,0.117647058823529,0.0,0.294117647058824,0.0,1.1,81.3,0.1
Midfielder,21.0,176.0,35.0,75,50.92,0.0933333333333333,0.0133333333333333,0.0933333333333333,0.0,1.1,84.8,0.1
Defender,21.0,171.0,26.0,1,29.0,0.0,0.0,0.0,0.0,0.0,94.7,0.0
Midfielder,30.0,180.0,16.0,329,64.9696048632219,0.0668693009118541,0.0942249240121581,0.285714285714286,0.0121580547112462,1.1,89.5,0.5
Forward,27.0,190.0,90.0,303,65.9273927392739,0.366336633663366,0.0792079207920792,0.0792079207920792,0.0,2.1,67.8,2.1
Defender,29.0,184.0,22.0,224,78.5714285714286,0.0580357142857143,0.0223214285714286,0.200892857142857,0.0267857142857143,0.6,84.2,1.6
Defender,35.0,191.0,15.0,533,82.2757973733583,0.0712945590994372,0.0431519699812383,0.133208255159475,0.0075046904315197,0.8,84.4,2.8
Midfielder,20.0,180.0,8.0,29,76.8620689655172,0.241379310344828,0.0,0.310344827586207,0.0,1.2,85.7,1.2
Midfielder,22.0,179.0,26.0,55,58.8909090909091,0.0727272727272727,0.163636363636364,0.0727272727272727,0.0181818181818182,1.3,75.6,0.4
