Name;Full Name;Nationality;Age;Height;Current Team;Shirt Number;Apps;Mins;Mins/App;Goals;Goals/App;Assists;Assists/App;Yel;Yel/App;Red;Red/App;Shots per Game;Pass Success Percentage;Aerials Won;Forward;Midfielder;Defender;Goalkeeper
Niccolò Pisilli;;Italy;20;181;Roma;61;17;749;44.0588235294118;2;0.117647058823529;0;0;5;0.294117647058824;0;0;1.1;81.3;0.1;0;1;0;0
Tommaso Baldanzi;;Italy;21;176;Roma;35;75;3819;50.92;7;0.0933333333333333;1;0.0133333333333333;7;0.0933333333333333;0;0;1.1;84.8;0.1;0;1;0;0
Eldor Shomurodov;;Uzbekistan;29;190;Roma;14;173;8452;48.8554913294798;32;0.184971098265896;16;0.092485549132948;11;0.0635838150289017;0;0;1.4;68.7;1.5;1;1;0;0
Nicola Zalewski;;Poland;22;175;Roma;59;116;6821;58.801724137931;4;0.0344827586206897;6;0.0517241379310345;11;0.0948275862068966;1;0.00862068965517241;0.7;78;0.3;0;1;1;0
Samuel Dahl;;Sweden;21;171;Roma;26;1;29;29;0;0;0;0;0;0;0;0;0;94.7;0;0;0;1;0
Leandro Paredes;;Argentina;30;180;Roma;16;329;21375;64.9696048632219;22;0.0668693009118541;31;0.0942249240121581;94;0.285714285714286;4;0.0121580547112462;1.1;89.5;0.5;0;1;0;0
Tammy Abraham;;England;27;190;AC Milan;90;303;19976;65.9273927392739;111;0.366336633663366;24;0.0792079207920792;24;0.0792079207920792;0;0;2.1;67.8;2.1;1;0;0;0
Mario Hermoso;;Spain;29;184;Roma;22;224;17600;78.5714285714286;13;0.0580357142857143;5;0.0223214285714286;45;0.200892857142857;6;0.0267857142857143;0.6;84.2;1.6;0;0;1;0
Mats Hummels;;Germany;35;191;Roma;15;533;43853;82.2757973733583;38;0.0712945590994372;23;0.0431519699812383;71;0.133208255159475;4;0.0075046904315197;0.8;84.4;2.8;0;0;1;0
Andrey Santos;Andrey Nascimento dos Santos;Brazil;20;180;Strasbourg;8;29;2229;76.8620689655172;7;0.241379310344828;0;0;9;0.310344827586207;0;0;1.2;85.7;1.2;0;1;0;0
Dilane Bakwa;;France;22;179;Strasbourg;26;55;3239;58.8909090909091;4;0.0727272727272727;9;0.163636363636364;4;0.0727272727272727;1;0.0181818181818182;1.3;75.6;0.4;0;1;0;0
Emanuel Emegha;;Netherlands;21;195;Strasbourg;10;79;4362;55.2151898734177;15;0.189873417721519;3;0.0379746835443038;6;0.0759493670886076;0;0;1.2;69;1.2;1;0;0;0
Karl-Johan Johnsson;;Sweden;34;188;Strasbourg;30;135;12047;89.237037037037;0;0;2;0.0148148148148148;1;0.00740740740740741;1;0.00740740740740741;0;56.9;0.3;0;0;0;1
Diego Moreira;Diego Manuel Jadon da Silva Moreira;Portugal;20;179;Strasbourg;43;20;1167;58.35;1;0.05;3;0.15;3;0.15;0;0;0.8;76.8;0.9;0;1;1;0
Sebastian Nanasi;;Sweden;22;178;Strasbourg;15;14;944;67.4285714285714;5;0.357142857142857;2;0.142857142857143;0;0;0;0;1;82.4;0.2;0;1;0;0
Guéla Doué;;France;22;187;Strasbourg;22;40;2443;61.075;1;0.025;2;0.05;5;0.125;1;0.025;0.6;82;1;0;0;1;0
Habib Diarra;;France;20;179;Strasbourg;19;75;4981;66.4133333333333;8;0.106666666666667;4;0.0533333333333333;11;0.146666666666667;0;0;1;83.9;0.5;0;1;0;0
Mamadou Sarr;;France;19;194;Strasbourg;23;13;963;74.0769230769231;0;0;0;0;1;0.0769230769230769;0;0;0.4;87.3;1.2;0;0;1;0
Djordje Petrovic;;Serbia;25;194;Strasbourg;28;78;6997;89.7051282051282;0;0;1;0.0128205128205128;3;0.0384615384615385;0;0;0;68.6;0.2;0;0;0;1
Ismaël Doukouré;;France;21;183;Strasbourg;29;61;4835;79.2622950819672;1;0.0163934426229508;2;0.0327868852459016;12;0.19672131147541;0;0;0.3;83.7;0.8;0;1;1;0
Abakar Sylla;;Ivory Coast;21;188;Strasbourg;5;59;4340;73.5593220338983;4;0.0677966101694915;1;0.0169491525423729;16;0.271186440677966;2;0.0338983050847458;0.5;87.3;1.4;0;0;1;0
Sékou Mara;;France;22;184;Strasbourg;18;101;2970;29.4059405940594;13;0.128712871287129;7;0.0693069306930693;5;0.0495049504950495;0;0;1;69.3;1;1;0;0;0
Pape Diong;;Senegal;18;190;Strasbourg;17;4;51;12.75;1;0.25;0;0;0;0;0;0;1.3;77.1;1;0;1;0;0
Abdoul Ouattara;;France;19;;Strasbourg;42;2;20;10;0;0;0;0;0;0;0;0;0;91.7;0;0;1;0;0
Saïdou Sow;;Guinea;22;187;Strasbourg;4;53;3978;75.0566037735849;2;0.0377358490566038;3;0.0566037735849057;6;0.113207547169811;0;0;0.2;84.5;1.6;0;0;1;0
Nordine Kandil;;France;23;167;Amiens;21;13;188;14.4615384615385;0;0;2;0.153846153846154;1;0.0769230769230769;0;0;0.3;74.6;0.4;0;1;0;0
Marvin Senaya;;France;23;181;Strasbourg;28;39;2295;58.8461538461539;1;0.0256410256410256;1;0.0256410256410256;6;0.153846153846154;1;0.0256410256410256;0.5;82.8;1.2;0;1;1;0
Junior Mwanga;;France;21;184;Strasbourg;18;30;1775;59.1666666666667;1;0.0333333333333333;1;0.0333333333333333;3;0.1;0;0;0.7;83.1;0.5;0;1;0;0
Félix Lemaréchal;;France;21;180;Strasbourg;6;48;2510;52.2916666666667;2;0.0416666666666667;5;0.104166666666667;7;0.145833333333333;0;0;0.8;75.9;1;0;1;0;0
Caleb Wiley;;USA;19;180;Strasbourg;26;85;6218;73.1529411764706;6;0.0705882352941177;7;0.0823529411764706;5;0.0588235294117647;0;0;0.3;81.1;0.7;0;1;1;0
