Name;Full Name;Nationality;Age;Height;Current Team;Shirt Number;Apps;Mins;Mins/App;Goals;Goals/App;Assists;Assists/App;Yel;Yel/App;Red;Red/App;Shots per Game;Pass Success Percentage;Aerials Won;Forward;Midfielder;Defender;Goalkeeper
Keinan Davis;;England;26;191;Udinese;9;146;6775;46.4041095890411;17;0.116438356164384;7;0.0479452054794521;17;0.116438356164384;0;0;1.2;77.4;1.2;1;0;0;0
Iker Bravo;;Spain;19;182;Udinese;21;9;208;23.1111111111111;1;0.111111111111111;1;0.111111111111111;1;0.111111111111111;0;0;0.4;74.6;0.3;1;0;0;0
Sandi Lovric;;Slovenia;26;180;Udinese;8;101;6679;66.1287128712871;10;0.099009900990099;13;0.128712871287129;8;0.0792079207920792;1;0.0099009900990099;1.5;82.4;0.2;0;1;0;0
Isaak Touré;;;21;206;Udinese;95;55;4229;76.8909090909091;2;0.0363636363636364;1;0.0181818181818182;12;0.218181818181818;2;0.0363636363636364;0.5;88.9;1.3;0;0;1;0
Arthur Atta;;France;21;189;Udinese;14;23;951;41.3478260869565;1;0.0434782608695652;2;0.0869565217391304;0;0;0;0;0.4;76.4;0.5;0;1;0;0
Rui Modesto;Rui Manuel Muati Modesto;Angola;25;181;Udinese;77;2;20;10;0;0;0;0;0;0;0;0;0;71.4;0.5;0;1;0;0
Jurgen Ekkelenkamp;;Netherlands;24;188;Udinese;32;134;7238;54.0149253731343;18;0.134328358208955;10;0.0746268656716418;11;0.082089552238806;1;0.00746268656716418;1.2;80.3;0.6;0;1;0;0
Enzo Ebosse;;Cameroon;25;185;Udinese;23;56;3211;57.3392857142857;0;0;0;0;5;0.0892857142857143;0;0;0.1;85.2;0.8;0;0;1;0
Oier Zarraga;;Spain;25;175;Udinese;6;86;2878;33.4651162790698;3;0.0348837209302326;0;0;10;0.116279069767442;0;0;0.5;82.4;0.3;0;1;0;0
James Abankwah;;Ireland;20;182;Udinese;;6;217;36.1666666666667;0;0;0;0;0;0;0;0;0;79.5;1;0;0;1;0
Thomas Kristensen;;Denmark;22;198;Udinese;31;29;2284;78.7586206896552;0;0;1;0.0344827586206897;3;0.103448275862069;1;0.0344827586206897;0.3;80;2.4;0;0;1;0
Raúl Moro;;Spain;21;169;Real Valladolid;11;31;1216;39.2258064516129;3;0.0967741935483871;2;0.0645161290322581;1;0.032258064516129;0;0;0.6;75.5;0.1;0;1;0;0
Juma Bah;;;18;195;Real Valladolid;35;5;364;72.8;0;0;0;0;1;0.2;0;0;0.6;76.8;2.8;0;0;1;0
Anuar Tuhami;;Spain;29;173;Real Valladolid;23;38;1794;47.2105263157895;3;0.0789473684210526;0;0;10;0.263157894736842;0;0;0.5;77.8;1.1;0;1;0;0
Mario Maroto;;Spain;20;176;Real Valladolid;34;1;18;18;0;0;1;1;0;0;0;0;0;73.3;1;0;1;0;0
Karl Hein;;Estonia;22;193;Real Valladolid;31;38;3420;90;0;0;0;0;1;0.0263157894736842;0;0;0;59.5;0.2;0;0;0;1
Selim Amallah;;Morocco;27;186;Real Valladolid;21;131;8350;63.7404580152672;26;0.198473282442748;13;0.099236641221374;32;0.244274809160305;4;0.0305343511450382;1.6;77.2;0.9;1;1;0;0
Enzo Boyomo;;Cameroon;23;180;Osasuna;22;13;1170;90;1;0.0769230769230769;0;0;2;0.153846153846154;0;0;0.5;85.9;1;0;0;1;0
Luis Pérez;;Spain;29;173;Real Valladolid;2;53;3645;68.7735849056604;0;0;1;0.0188679245283019;5;0.0943396226415094;0;0;0.1;76.3;0.7;0;0;1;0
Lucas Rosa;Lucas Oliveira Rosa;Brazil;24;176;Real Valladolid;22;29;2010;69.3103448275862;0;0;1;0.0344827586206897;8;0.275862068965517;0;0;0.4;76.2;0.7;0;0;1;0
Iván Sánchez;Iván Sánchez Aguayo;Spain;32;171;Real Valladolid;10;80;4433;55.4125;4;0.05;9;0.1125;4;0.05;0;0;0.8;82.8;0.3;0;1;0;0
Kike Pérez;;Spain;27;184;Real Valladolid;8;114;5705;50.0438596491228;5;0.043859649122807;2;0.0175438596491228;24;0.210526315789474;0;0;0.9;80.4;0.8;0;1;0;0
Javi Sánchez;Javi Sánchez de Felipe;Spain;27;186;Real Valladolid;5;66;4564;69.1515151515152;1;0.0151515151515152;1;0.0151515151515152;18;0.272727272727273;0;0;0.3;82.5;1.3;0;0;1;0
Mamadou Sylla;;Spain;30;184;Real Valladolid;7;56;1757;31.375;2;0.0357142857142857;1;0.0178571428571429;8;0.142857142857143;0;0;0.6;66.3;1.1;1;0;0;0
Stanko Juric;;Croatia;28;189;Real Valladolid;20;11;641;58.2727272727273;0;0;0;0;4;0.363636363636364;0;0;0;84.7;1;0;1;0;0
Cenk Özkacar;;Turkey;24;190;Real Valladolid;6;108;8752;81.037037037037;4;0.037037037037037;0;0;12;0.111111111111111;0;0;0.4;83;1.7;0;0;1;0
Amath Ndiaye;;Senegal;28;173;Real Valladolid;19;127;6746;53.1181102362205;6;0.047244094488189;7;0.0551181102362205;22;0.173228346456693;1;0.0078740157480315;0.9;72.3;0.4;1;1;0;0
Raúl Chasco;;;21;179;Real Valladolid;30;2;129;64.5;0;0;0;0;0;0;0;0;0;66.7;0.5;0;0;1;0
Juanmi Latasa;;Spain;23;192;Real Valladolid;14;60;2439;40.65;3;0.05;0;0;11;0.183333333333333;1;0.0166666666666667;1.2;53.6;4.2;1;0;0;0
Eray Cömert;;Switzerland;26;183;Real Valladolid;15;80;5829;72.8625;3;0.0375;1;0.0125;20;0.25;1;0.0125;0.5;86.5;1.1;0;1;1;0
Mario Martín;;Spain;20;178;Real Valladolid;12;12;629;52.4166666666667;0;0;1;0.0833333333333333;3;0.25;1;0.0833333333333333;0.7;83.7;0.9;0;1;0;0
David Torres;;Spain;21;182;Real Valladolid;3;16;1077;67.3125;0;0;0;0;5;0.3125;0;0;0.1;83.2;1.4;0;0;1;0
Marcos André;Marcos André de Sousa Mendonça;;28;184;Real Valladolid;9;76;2862;37.6578947368421;6;0.0789473684210526;4;0.0526315789473684;10;0.131578947368421;1;0.0131578947368421;1.1;66.1;1.4;1;0;0;0
Víctor Meseguer;;Spain;25;184;Real Valladolid;4;11;329;29.9090909090909;0;0;0;0;0;0;0;0;0.5;78.6;0.7;0;1;0;0
Darwin Machís;;Venezuela;31;170;Real Valladolid;18;194;9912;51.0927835051546;24;0.123711340206186;18;0.0927835051546392;17;0.0876288659793814;1;0.00515463917525773;1.5;71.8;0.4;0;1;0;0
Kenedy;Robert Kenedy Nunes do Nascimento;Brazil;28;182;Real Valladolid;24;179;7994;44.659217877095;15;0.0837988826815642;18;0.100558659217877;17;0.0949720670391061;0;0;1.2;75.9;0.3;0;1;1;0
Chuki;Iván Cantalejo;;20;;Real Valladolid;28;4;88;22;0;0;0;0;1;0.25;0;0;0;71.4;0;0;1;0;0
Duván Zapata;;Colombia;33;189;Torino;91;364;24098;66.2032967032967;137;0.376373626373626;50;0.137362637362637;30;0.0824175824175824;0;0;2.4;72.3;1.9;1;0;0;0
Raoul Bellanova;;Italy;24;188;Atalanta;16;108;7253;67.1574074074074;3;0.0277777777777778;11;0.101851851851852;10;0.0925925925925926;0;0;0.6;82.2;0.6;0;1;0;0
Alberto Paleari;;Italy;32;193;Torino;1;4;295;73.75;0;0;0;0;0;0;0;0;0;68.3;0.3;0;0;0;1
Vanja Milinkovic-Savic;;Serbia;27;202;Torino;32;131;11686;89.206106870229;0;0;0;0;10;0.0763358778625954;2;0.0152671755725191;0;57.8;0.3;0;0;0;1
Adam Masina;;Morocco;30;189;Torino;5;230;17118;74.4260869565217;8;0.0347826086956522;8;0.0347826086956522;42;0.182608695652174;3;0.0130434782608696;0.4;74.6;2.4;0;1;1;0
Saúl Coco;;Equatorial Guinea;25;187;Torino;23;50;4126;82.52;3;0.06;0;0;9;0.18;1;0.02;0.7;87.6;1.9;0;0;1;0
Ché Adams;;Scotland;28;175;Torino;18;315;20186;64.0825396825397;85;0.26984126984127;28;0.0888888888888889;19;0.0603174603174603;2;0.00634920634920635;1.8;70.2;1.1;1;1;0;0
Nikola Vlasic;;Croatia;27;179;Torino;10;261;18798;72.0229885057471;50;0.191570881226054;36;0.137931034482759;15;0.0574712643678161;1;0.00383141762452107;2.1;81.4;0.6;1;1;0;0
Guillermo Maripán;;Chile;30;190;Torino;13;190;14996;78.9263157894737;13;0.068421052631579;3;0.0157894736842105;33;0.173684210526316;3;0.0157894736842105;0.5;85.6;2.2;0;0;1;0
Ivan Ilic;;Serbia;23;186;Torino;8;135;9640;71.4074074074074;9;0.0666666666666667;11;0.0814814814814815;17;0.125925925925926;1;0.00740740740740741;0.7;85;1;0;1;0;0
Valentino Lazaro;;Austria;28;180;Torino;20;220;13769;62.5863636363636;9;0.0409090909090909;26;0.118181818181818;29;0.131818181818182;1;0.00454545454545455;0.5;79;0.6;0;1;1;0
Samuele Ricci;;Italy;23;181;Torino;28;110;8041;73.1;4;0.0363636363636364;4;0.0363636363636364;16;0.145454545454545;2;0.0181818181818182;0.7;89.9;0.4;0;1;0;0
Karol Linetty;;Poland;29;176;Torino;77;258;17371;67.3294573643411;18;0.0697674418604651;14;0.0542635658914729;62;0.24031007751938;1;0.00387596899224806;0.7;83.4;0.6;0;1;0;0
Alieu Njie;;Sweden;19;;Torino;92;6;197;32.8333333333333;1;0.166666666666667;0;0;0;0;0;0;0.7;67.6;1.3;1;0;0;0
Antonio Sanabria;;Paraguay;28;180;Torino;9;267;16908;63.3258426966292;69;0.258426966292135;13;0.048689138576779;28;0.104868913857678;0;0;1.6;74.2;2.1;1;0;0;0
Mërgim Vojvoda;;Kosovo;29;187;Torino;27;149;9550;64.0939597315436;2;0.0134228187919463;13;0.087248322147651;21;0.140939597315436;1;0.00671140939597315;0.4;80.9;0.6;0;1;1;0
Sebastian Walukiewicz;;Poland;24;188;Torino;4;92;6730;73.1521739130435;0;0;1;0.0108695652173913;13;0.141304347826087;0;0;0.2;85.3;1;0;0;1;0
Borna Sosa;;Croatia;26;187;Torino;24;154;11092;72.025974025974;6;0.038961038961039;33;0.214285714285714;16;0.103896103896104;1;0.00649350649350649;0.5;80.9;0.8;0;1;1;0
Gvidas Gineitis;;Lithuania;20;187;Torino;66;26;1083;41.6538461538462;0;0;1;0.0384615384615385;5;0.192307692307692;0;0;0.7;82.7;0.4;0;1;0;0
Marcus Pedersen;;Norway;24;184;Torino;16;123;8130;66.0975609756098;1;0.00813008130081301;12;0.0975609756097561;12;0.0975609756097561;0;0;0.4;80.5;0.2;0;0;1;0
Adrien Tameze;;France;30;180;Torino;61;195;12824;65.7641025641026;7;0.0358974358974359;8;0.041025641025641;29;0.148717948717949;1;0.00512820512820513;0.4;86.3;1.1;0;1;1;0
Yann Karamoh;;France;26;185;Torino;7;201;8801;43.7860696517413;21;0.104477611940299;10;0.0497512437810945;12;0.0597014925373134;1;0.00497512437810945;1.1;78.7;0.2;1;1;0;0
Ali Dembélé;;France;20;185;Torino;21;6;54;9;0;0;0;0;1;0.166666666666667;0;0;0;74.1;0.3;0;0;1;0
Aaron Ciammaglichella;;Italy;19;180;Torino;72;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Saba Sazonov;;Russia;22;192;Torino;15;48;2722;56.7083333333333;1;0.0208333333333333;0;0;11;0.229166666666667;0;0;0.4;76.1;1.6;0;0;1;0
Cole Palmer;;England;22;189;Chelsea;20;91;5582;61.3406593406593;36;0.395604395604396;20;0.21978021978022;12;0.131868131868132;0;0;2.3;83.5;0.1;1;1;0;0
Moisés Caicedo;;Ecuador;23;178;Chelsea;25;132;10606;80.3484848484848;7;0.053030303030303;9;0.0681818181818182;34;0.257575757575758;0;0;0.7;86.9;0.9;0;1;0;0
Nicolas Jackson;;Senegal;23;186;Chelsea;15;91;5925;65.1098901098901;33;0.362637362637363;12;0.131868131868132;19;0.208791208791209;1;0.010989010989011;1.8;77.2;0.8;1;0;0;0
Noni Madueke;;England;22;182;Chelsea;11;116;5457;47.0431034482759;24;0.206896551724138;12;0.103448275862069;7;0.0603448275862069;0;0;1.6;84.8;0.3;1;1;0;0
Jadon Sancho;;England;24;180;Chelsea;19;244;16001;65.577868852459;57;0.233606557377049;65;0.266393442622951;8;0.0327868852459016;0;0;1.1;84.9;0.1;0;1;0;0
Wesley Fofana;;France;23;190;Chelsea;29;95;7866;82.8;3;0.0315789473684211;1;0.0105263157894737;27;0.284210526315789;0;0;0.4;86.5;2.9;0;0;1;0
Pedro Neto;Pedro Lomba Neto;Portugal;24;172;Chelsea;7;148;7930;53.5810810810811;15;0.101351351351351;24;0.162162162162162;23;0.155405405405405;0;0;1.2;86;0.3;1;1;0;0
Benoît Badiashile;;France;23;194;Chelsea;5;153;12469;81.4967320261438;8;0.0522875816993464;3;0.0196078431372549;24;0.156862745098039;0;0;0.5;88;2.5;0;0;1;0
Levi Colwill;;England;21;187;Chelsea;6;96;7774;80.9791666666667;3;0.03125;4;0.0416666666666667;14;0.145833333333333;0;0;0.5;84;2.6;0;0;1;0
Robert Sánchez;;Spain;26;197;Chelsea;1;118;10540;89.3220338983051;0;0;0;0;12;0.101694915254237;1;0.00847457627118644;0;72.3;0.4;0;0;0;1
Roméo Lavia;;Belgium;20;181;Chelsea;45;40;2808;70.2;1;0.025;2;0.05;12;0.3;0;0;0.4;87.3;0.4;0;1;0;0
Marc Cucurella;;Spain;26;172;Chelsea;3;226;18188;80.4778761061947;6;0.0265486725663717;16;0.0707964601769912;52;0.230088495575221;0;0;0.6;79.3;1.3;0;1;1;0
Reece James;;England;24;182;Chelsea;24;200;14572;72.86;13;0.065;24;0.12;23;0.115;4;0.02;1;84.6;1.3;0;1;1;0
Enzo Fernández;;Argentina;23;178;Chelsea;8;127;9820;77.3228346456693;10;0.078740157480315;18;0.141732283464567;24;0.188976377952756;0;0;1.4;86.4;0.7;0;1;0;0
Malo Gusto;;France;21;179;Chelsea;27;102;6805;66.7156862745098;0;0;13;0.127450980392157;13;0.127450980392157;2;0.0196078431372549;0.5;85.9;0.4;0;1;1;0
João Félix;João Félix Sequeira;Portugal;25;181;Chelsea;14;240;13942;58.0916666666667;68;0.283333333333333;31;0.129166666666667;35;0.145833333333333;2;0.00833333333333333;2.1;80;0.6;1;1;0;0
Axel Disasi;;France;26;190;Chelsea;2;189;15391;81.4338624338624;15;0.0793650793650794;4;0.0211640211640212;22;0.116402116402116;2;0.0105820105820106;0.6;86.1;2.3;0;0;1;0
Tosin Adarabioyo;;England;27;196;Chelsea;4;195;16156;82.8512820512821;8;0.041025641025641;5;0.0256410256410256;14;0.0717948717948718;1;0.00512820512820513;0.5;83.2;2.8;0;0;1;0
Christopher Nkunku;;France;26;178;Chelsea;18;238;14657;61.5840336134454;78;0.327731092436975;42;0.176470588235294;17;0.0714285714285714;0;0;1.7;86.5;0.7;1;1;0;0
Mykhailo Mudryk;;Ukraine;23;175;Chelsea;10;89;4610;51.7977528089888;11;0.123595505617978;7;0.0786516853932584;14;0.157303370786517;0;0;1.1;77.7;0.3;0;1;0;0
Kiernan Dewsbury-Hall;;England;26;178;Chelsea;22;168;12897;76.7678571428571;23;0.136904761904762;25;0.148809523809524;19;0.113095238095238;1;0.00595238095238095;1.3;80.1;0.7;0;1;0;0
Marc Guiu;;;18;187;Chelsea;38;7;145;20.7142857142857;2;0.285714285714286;0;0;1;0.142857142857143;0;0;1;77.4;0.1;1;0;0;0
Eberechi Eze;;England;26;178;Crystal Palace;10;236;17215;72.9449152542373;49;0.207627118644068;32;0.135593220338983;15;0.0635593220338983;0;0;1.9;83.6;0.5;0;1;0;0
Trevoh Chalobah;;England;25;190;Crystal Palace;27;187;13934;74.5133689839572;11;0.0588235294117647;5;0.0267379679144385;27;0.144385026737968;1;0.0053475935828877;0.7;80.5;1.9;0;1;1;0
Marc Guéhi;;England;24;182;Crystal Palace;6;183;15945;87.1311475409836;5;0.0273224043715847;3;0.0163934426229508;27;0.147540983606557;0;0;0.4;84.5;2.2;0;0;1;0
Daniel Muñoz;;Colombia;28;180;Crystal Palace;12;160;13344;83.4;18;0.1125;22;0.1375;36;0.225;2;0.0125;0.8;81.7;1.2;0;1;1;0
Maxence Lacroix;;France;24;190;Crystal Palace;5;127;10521;82.8425196850394;6;0.047244094488189;3;0.0236220472440945;17;0.133858267716535;6;0.047244094488189;0.4;83.7;2.2;0;0;1;0
Tyrick Mitchell;;England;25;175;Crystal Palace;3;151;12659;83.8344370860927;3;0.0198675496688742;9;0.0596026490066225;14;0.0927152317880795;1;0.00662251655629139;0.2;73.2;0.6;0;1;1;0
Dean Henderson;;England;27;188;Crystal Palace;1;158;14113;89.3227848101266;0;0;1;0.00632911392405063;11;0.069620253164557;0;0;0;50;0.4;0;0;0;1
Adam Wharton;;England;20;182;Crystal Palace;20;76;5475;72.0394736842105;4;0.0526315789473684;8;0.105263157894737;8;0.105263157894737;0;0;0.7;83.1;0.6;0;1;0;0
Eddie Nketiah;;England;25;175;Crystal Palace;9;178;7196;40.4269662921348;35;0.196629213483146;6;0.0337078651685393;16;0.0898876404494382;1;0.00561797752808989;1.4;79.4;0.5;1;1;0;0
Justin Devenny;;Scotland;21;;Crystal Palace;55;1;74;74;0;0;0;0;0;0;0;0;1;80;0;0;1;0;0
Chadi Riad;;Spain;21;186;Crystal Palace;34;29;2266;78.1379310344828;0;0;0;0;1;0.0344827586206897;0;0;0.4;90.3;1.6;0;0;1;0
Chris Richards;;USA;24;188;Crystal Palace;26;87;6243;71.7586206896552;2;0.0229885057471264;4;0.0459770114942529;8;0.0919540229885058;0;0;0.4;85.2;2.2;0;1;1;0
Jefferson Lerma;;Colombia;30;179;Crystal Palace;8;286;23431;81.9265734265734;16;0.0559440559440559;12;0.041958041958042;93;0.325174825174825;4;0.013986013986014;1;80.1;2.2;0;1;1;0
Jean-Philippe Mateta;;France;27;192;Crystal Palace;14;184;10665;57.9619565217391;57;0.309782608695652;11;0.0597826086956522;17;0.0923913043478261;1;0.00543478260869565;1.7;70.1;1.9;1;0;0;0
Ismaïla Sarr;;Senegal;26;185;Crystal Palace;7;293;21764;74.2798634812287;65;0.221843003412969;36;0.122866894197952;25;0.0853242320819113;0;0;1.6;77.7;0.7;1;1;0;0
Will Hughes;;England;29;185;Crystal Palace;19;329;22062;67.0577507598784;16;0.0486322188449848;25;0.0759878419452888;69;0.209726443768997;0;0;0.7;83.1;0.5;0;1;0;0
Daichi Kamada;;Japan;28;184;Crystal Palace;18;213;14531;68.2206572769953;38;0.178403755868545;32;0.150234741784038;20;0.0938967136150235;1;0.00469483568075117;1.2;81.8;0.4;1;1;0;0
Joachim Andersen;;Denmark;28;192;Fulham;5;278;23537;84.6654676258993;10;0.0359712230215827;11;0.039568345323741;49;0.176258992805755;3;0.0107913669064748;0.5;82.9;2.3;0;0;1;0
Cheick Doucouré;;Mali;24;180;Crystal Palace;28;120;9566;79.7166666666667;3;0.025;8;0.0666666666666667;26;0.216666666666667;2;0.0166666666666667;0.9;86.1;0.7;0;1;0;0
Asher Agbinone;;;19;;Crystal Palace;64;2;4;2;0;0;0;0;0;0;0;0;0.5;100;0;0;1;0;0
Caleb Kporha;;;18;;Crystal Palace;58;1;1;1;0;0;0;0;0;0;0;0;0;50;0;0;0;1;0
Nathaniel Clyne;;England;33;175;Crystal Palace;17;285;23505;82.4736842105263;4;0.0140350877192982;13;0.0456140350877193;29;0.101754385964912;0;0;0.4;79.5;0.4;0;1;1;0
Jeffrey Schlupp;;Ghana;31;178;Crystal Palace;15;311;18598;59.8006430868167;23;0.0739549839228296;17;0.0546623794212219;27;0.0868167202572347;0;0;0.8;75;1.2;0;1;1;0
Odsonne Édouard;;France;26;187;Leicester;29;170;9558;56.2235294117647;46;0.270588235294118;11;0.0647058823529412;15;0.0882352941176471;0;0;1.7;72.9;1.1;1;1;0;0
Jordan Ayew;;Ghana;33;182;Leicester;18;510;33639;65.9588235294118;80;0.156862745098039;46;0.0901960784313726;74;0.145098039215686;6;0.0117647058823529;1.5;81.5;1.2;1;1;0;0
Anton Stach;;Germany;25;193;Hoffenheim;16;135;9544;70.6962962962963;5;0.037037037037037;13;0.0962962962962963;23;0.17037037037037;1;0.00740740740740741;1.2;77.6;2.2;0;1;1;0
Marius Bülter;;Germany;31;188;Hoffenheim;21;198;12840;64.8484848484848;38;0.191919191919192;21;0.106060606060606;16;0.0808080808080808;1;0.00505050505050505;1.5;68.5;1.3;1;1;1;0
Andrej Kramaric;;Croatia;33;177;Hoffenheim;27;356;25444;71.4719101123596;147;0.412921348314607;52;0.146067415730337;23;0.0646067415730337;1;0.00280898876404494;2.5;82.7;0.3;1;1;0;0
Oliver Baumann;;Germany;34;187;Hoffenheim;1;501;45090;90;0;0;3;0.00598802395209581;9;0.0179640718562874;0;0;0;68.4;0.3;0;0;0;1
Adam Hlozek;;Czech Republic;22;188;Hoffenheim;23;106;4600;43.3962264150943;14;0.132075471698113;11;0.10377358490566;6;0.0566037735849057;0;0;1.3;74.9;0.8;1;1;0;0
Valentin Gendrey;;France;24;179;Hoffenheim;17;88;7092;80.5909090909091;4;0.0454545454545455;6;0.0681818181818182;9;0.102272727272727;0;0;0.4;75.4;1.4;0;1;1;0
Florian Grillitsch;;Austria;29;187;Hoffenheim;11;272;19879;73.0845588235294;11;0.0404411764705882;19;0.0698529411764706;53;0.194852941176471;1;0.00367647058823529;0.8;84.5;1.2;0;1;1;0
Kevin Akpoguma;;Germany;29;192;Hoffenheim;25;202;14351;71.0445544554456;3;0.0148514851485149;3;0.0148514851485149;43;0.212871287128713;1;0.00495049504950495;0.3;81.6;1.8;0;1;1;0
Arthur Chaves;Arthur Largura Chaves;Brazil;23;188;Hoffenheim;35;24;1993;83.0416666666667;1;0.0416666666666667;0;0;7;0.291666666666667;0;0;0.5;85.9;1.9;0;0;1;0
Pavel Kaderábek;;Czech Republic;32;182;Hoffenheim;3;279;21644;77.5770609318996;15;0.0537634408602151;33;0.118279569892473;39;0.139784946236559;0;0;0.6;71.9;2;0;1;1;0
Haris Tabakovic;;Switzerland;30;196;Hoffenheim;26;46;3020;65.6521739130435;23;0.5;5;0.108695652173913;2;0.0434782608695652;0;0;2.3;69.5;2.3;1;0;0;0
Alexander Prass;;Austria;23;180;Hoffenheim;22;38;2703;71.1315789473684;1;0.0263157894736842;2;0.0526315789473684;6;0.157894736842105;0;0;1;71.6;0.4;0;1;1;0
Stanley Nsoki;;France;25;184;Hoffenheim;34;154;11155;72.4350649350649;1;0.00649350649350649;2;0.012987012987013;25;0.162337662337662;7;0.0454545454545455;0.2;85.8;1.3;0;0;1;0
Umut Tohumcu;;Germany;20;175;Hoffenheim;17;40;1799;44.975;1;0.025;3;0.075;7;0.175;0;0;0.7;82.8;0.1;0;1;0;0
Mërgim Berisha;;Serbia;26;186;Hoffenheim;10;82;4340;52.9268292682927;22;0.268292682926829;8;0.0975609756097561;11;0.134146341463415;1;0.0121951219512195;1.8;66.3;1;1;1;0;0
Jacob Bruun Larsen;;Denmark;26;183;Hoffenheim;29;158;5882;37.2278481012658;19;0.120253164556962;10;0.0632911392405063;2;0.0126582278481013;0;0;0.9;77;0.3;1;1;0;0
David Jurásek;;Czech Republic;24;183;Hoffenheim;19;28;1176;42;0;0;1;0.0357142857142857;3;0.107142857142857;0;0;0.4;67.7;0.3;0;1;1;0
Grischa Prömel;;Germany;29;180;Hoffenheim;6;213;16610;77.981220657277;26;0.122065727699531;15;0.0704225352112676;44;0.206572769953052;4;0.0187793427230047;1;77.8;1.4;0;1;0;0
Tim Drexler;;Germany;19;183;Hoffenheim;4;19;975;51.3157894736842;0;0;0;0;3;0.157894736842105;0;0;0.2;87.6;0.3;0;0;1;0
Max Moerstedt;;Germany;18;194;Hoffenheim;33;8;243;30.375;1;0.125;0;0;1;0.125;0;0;1.3;81;0.9;1;0;0;0
Diadié Samassékou;;Mali;28;175;Hoffenheim;18;124;8788;70.8709677419355;3;0.0241935483870968;7;0.0564516129032258;23;0.185483870967742;0;0;0.5;82.6;1.2;0;1;0;0
Florian Micheler;;;19;185;Hoffenheim;28;1;31;31;0;0;0;0;1;1;0;0;0;91.7;0;0;1;0;0
Dennis Geiger;;Germany;26;173;Hoffenheim;8;117;7659;65.4615384615385;6;0.0512820512820513;12;0.102564102564103;35;0.299145299145299;1;0.00854700854700855;0.6;85.7;0.3;0;1;0;0
Robin Hranác;;Czech Republic;24;190;Hoffenheim;2;6;451;75.1666666666667;0;0;1;0.166666666666667;0;0;0;0;0.3;83.2;1.3;0;0;1;0
Omar Alderete;;Paraguay;27;188;Getafe;15;158;12906;81.6835443037975;5;0.0316455696202532;2;0.0126582278481013;51;0.322784810126582;2;0.0126582278481013;0.7;67.2;2.3;0;0;1;0
Luis Milla;;Spain;30;175;Getafe;5;123;9642;78.390243902439;5;0.040650406504065;10;0.0813008130081301;16;0.130081300813008;1;0.00813008130081301;0.6;83;0.9;0;1;0;0
Diego Rico;;Spain;31;183;Getafe;16;218;17068;78.2935779816514;5;0.0229357798165138;18;0.0825688073394496;50;0.229357798165138;1;0.00458715596330275;0.6;72.1;1;0;1;1;0
Juan Iglesias;;Spain;26;187;Getafe;21;99;5822;58.8080808080808;1;0.0101010101010101;3;0.0303030303030303;16;0.161616161616162;0;0;0.5;59.8;0.6;0;1;1;0
Bertug Yildirim;;Turkey;22;191;Getafe;10;87;3029;34.816091954023;10;0.114942528735632;3;0.0344827586206897;12;0.137931034482759;1;0.0114942528735632;0.8;60.8;1.6;1;0;0;0
Álvaro Rodríguez;;;20;192;Getafe;18;13;270;20.7692307692308;1;0.0769230769230769;1;0.0769230769230769;1;0.0769230769230769;0;0;0.7;60.6;2.1;1;0;0;0
Christantus Uche;;Nigeria;21;190;Getafe;6;13;1001;77;1;0.0769230769230769;0;0;3;0.230769230769231;0;0;1.4;71.8;2.3;1;0;0;0
Mauro Arambarri;;Uruguay;29;175;Getafe;8;208;16344;78.5769230769231;10;0.0480769230769231;11;0.0528846153846154;60;0.288461538461538;3;0.0144230769230769;1;73.2;1.3;0;1;0;0
Djené Dakonam;;Togo;32;178;Getafe;2;258;22265;86.2984496124031;1;0.00387596899224806;3;0.0116279069767442;69;0.267441860465116;7;0.0271317829457364;0.2;74.2;1.9;0;1;1;0
David Soria;;Spain;31;192;Getafe;13;261;23425;89.7509578544061;0;0;0;0;16;0.0613026819923372;0;0;0;48.4;0.2;0;0;0;1
Carles Pérez;;Spain;26;173;Getafe;17;142;7028;49.4929577464789;12;0.0845070422535211;14;0.0985915492957746;12;0.0845070422535211;0;0;1.5;83.9;0.2;1;1;0;0
Juan Berrocal;;Spain;25;184;Getafe;4;6;477;79.5;0;0;0;0;0;0;1;0.166666666666667;0.2;73.9;3.2;0;0;1;0
Álex Sola;;Spain;25;178;Getafe;7;62;2804;45.2258064516129;0;0;4;0.0645161290322581;8;0.129032258064516;0;0;0.8;73.3;0.7;0;1;1;0
Nabil Aberdin;;France;22;180;Getafe;27;9;443;49.2222222222222;0;0;0;0;1;0.111111111111111;0;0;0.2;63.5;1.6;0;0;1;0
Borja Mayoral;;Spain;27;182;Getafe;9;247;13577;54.9676113360324;66;0.267206477732794;14;0.0566801619433198;14;0.0566801619433198;0;0;1.2;78.5;0.9;1;1;0;0
Allan Nyom;;Cameroon;36;188;Getafe;12;336;26894;80.0416666666667;4;0.0119047619047619;13;0.0386904761904762;97;0.288690476190476;4;0.0119047619047619;0.3;70.9;0.9;0;1;1;0
Alberto Risco;;Spain;19;157;Getafe;26;9;201;22.3333333333333;0;0;0;0;0;0;0;0;0.7;78.4;0.1;0;1;0;0
Carles Aleñá;;Spain;26;180;Getafe;11;177;9085;51.3276836158192;9;0.0508474576271187;7;0.0395480225988701;30;0.169491525423729;2;0.0112994350282486;0.9;82.1;0.4;0;1;0;0
